"","season","season_avg","season_obp","season_slg","season_ops","num_hr","hr_rate","bb_pct","k_pct","bb_k_ratio","sac_rate","three_true"
"16",1886,0.246,NA,0.332,NA,413,0.00524178195202437,0.0704911790836401,NA,NA,NA,NA
"17",1887,0.271,0.332,0.374,0.706,606,0.00743257331387291,0.0742398783314731,NA,NA,NA,NA
"18",1888,0.239,0.291,0.32,0.611,521,0.00643289294974688,0.0583652302753426,NA,NA,NA,NA
"19",1889,0.263,0.333,0.357,0.69,667,0.00788854328054593,0.0865256111551335,0.0907005073740731,0.953970530708045,NA,0.185114661809752
"20",1890,0.26,0.337,0.351,0.688,760,0.00602901861856144,0.0928230879681414,NA,NA,NA,NA
"21",1891,0.254,0.332,0.343,0.675,586,0.00674858636693423,0.0927412389298999,0.0883074407195421,1.05020865936359,NA,0.187797266016376
"22",1892,0.245,0.317,0.327,0.644,417,0.00590526092190045,0.0874884939460455,0.0844579763506337,1.03588195841717,NA,0.17785173121858
"23",1893,0.28,0.356,0.379,0.735,460,0.00722361809045226,0.0964667085427136,0.0524654522613065,1.83867105656989,NA,0.156155778894472
"24",1894,0.309,0.379,0.435,0.814,627,0.00986593655589124,0.0913739929506546,0.0519889224572004,1.75756658595642,NA,0.153228851963746
"25",1895,0.296,0.356,0.4,0.756,484,0.00764154220215353,0.0805361710189775,0.0568694938267707,1.41615769017213,0.0156777921626827,0.145047207047902
"26",1896,0.29,0.348,0.387,0.735,404,0.0064926716379532,0.0780084854718437,0.0566019542298791,1.37819420783646,0.0186905374132168,0.141103111339676
"27",1897,0.292,0.348,0.386,0.734,367,0.00581340091873911,0.0747029938222715,NA,NA,0.0178995723111041,NA
"28",1898,0.271,0.327,0.347,0.674,299,0.00427362643645303,0.0727802870047453,NA,NA,0.0192384654965411,NA
"29",1899,0.282,0.337,0.366,0.703,350,0.00500923129767715,0.0711597086058594,NA,NA,0.0188776459475319,NA
"30",1900,0.279,0.333,0.366,0.699,254,0.0058410946303323,0.0697711854662527,NA,NA,0.0185351270553064,NA
"31",1901,0.272,0.32,0.36,0.68,455,0.00534841075794621,0.0642397028399473,NA,NA,0.0196539401918375,NA
"32",1902,0.267,0.315,0.344,0.659,356,0.00423124465151659,0.0645977940477322,NA,NA,0.0217742702291528,NA
"33",1903,0.262,0.31,0.346,0.656,335,0.00400928718464263,0.0642563071473024,NA,NA,0.0241634353008761,NA
"34",1904,0.247,0.293,0.321,0.614,331,0.0036348062900817,0.0612755864007731,NA,NA,0.0243674778177985,NA
"35",1905,0.248,0.299,0.323,0.622,338,0.00369985222483717,0.0677467024246073,NA,NA,0.0274095561271961,NA
"36",1906,0.247,0.297,0.314,0.611,261,0.00291112697421255,0.0688074417774605,NA,NA,0.0300927991433925,NA
"37",1907,0.245,0.296,0.309,0.605,244,0.00271942045137921,0.0679966564502647,NA,NA,0.0287656728893842,NA
"38",1908,0.239,0.286,0.305,0.591,267,0.00294894025910913,0.0647220596193989,NA,NA,0.0356744458311704,NA
"39",1909,0.244,0.296,0.311,0.607,259,0.0028462476784949,0.0714858731606536,NA,NA,0.0342428871281471,NA
"40",1910,0.249,0.308,0.326,0.634,361,0.00389121835016654,0.0799693876451123,NA,NA,0.0325525745637201,NA
"41",1911,0.266,0.326,0.357,0.683,514,0.00547816726528611,0.0835367218391295,NA,NA,0.0307374209982201,NA
"42",1912,0.269,0.327,0.359,0.686,442,0.00474228573880949,0.0824320844598944,NA,NA,0.0296661087506974,NA
"43",1913,0.259,0.316,0.345,0.661,470,0.0051239561302139,0.0792250834005625,0.101203584588884,0.782828826887859,0.0277020692061139,0.185552624119661
"44",1914,0.254,0.311,0.337,0.648,710,0.00511125988956799,0.0802179844358537,0.106235017169514,0.755099274920377,0.0301492343908602,0.191564261494936
"45",1915,0.25,0.308,0.332,0.64,635,0.00459213190627712,0.0804165461382702,0.101388487127567,0.793152639087018,0.0321159965287822,0.186397165172115
"46",1916,0.248,0.303,0.326,0.629,383,0.00414197343946014,0.0765237703854306,0.103105939351992,0.742185861128592,0.0305943677812865,0.183771683176883
"47",1917,0.249,0.301,0.324,0.625,335,0.00361681223886076,0.0746035002105309,0.0937132245770489,0.796082949308756,0.0332422832341859,0.171933537026441
"48",1918,0.254,0.307,0.325,0.632,235,0.00309328559581946,0.0756736122994301,0.0779902857669374,0.970295358649789,0.0321964960313804,0.156757183662187
"49",1919,0.263,0.312,0.348,0.66,447,0.00532764415627756,0.0712974660913923,0.0816309503945079,0.87341217696014,0.0323949369502515,0.158256060642178
"50",1920,0.276,0.324,0.372,0.696,630,0.00665954905339267,0.0720922611811714,0.076605955539582,0.941079067200221,0.0321561082863817,0.155357765774146
"51",1921,0.291,0.337,0.403,0.74,937,0.00980576834526351,0.0716543178868936,0.0728264054585793,0.983905733582411,0.0312486918665495,0.154286491690736
"52",1922,0.288,0.338,0.401,0.739,1055,0.0109718683375799,0.075430294836462,0.0722791326504082,1.04359712230216,0.0307628308460298,0.15868129582445
"53",1923,0.284,0.337,0.391,0.728,980,0.0101945282430043,0.0786747113284094,0.0730365130552377,1.07719698048711,0.0284302507021741,0.161905752626651
"54",1924,0.287,0.338,0.394,0.732,896,0.00940307278985811,0.0772815044916464,0.0696520023507682,1.10953744161519,0.0283876248845605,0.156336579632273
"55",1925,0.292,0.345,0.411,0.756,1169,0.0121484837777732,0.0804772099016898,0.0692640242761832,1.16189047261815,0.0265520753226779,0.161889717955646
"56",1926,0.281,0.333,0.389,0.722,863,0.00907093831131292,0.0809657448575243,0.0712326175385489,1.13663863066254,0.0336349972146018,0.161269300707386
"57",1927,0.284,0.334,0.393,0.727,922,0.00964727793996087,0.0779001998514194,0.0720825354971696,1.08070837567136,0.0333050820855699,0.15963001328855
"58",1928,0.281,0.333,0.397,0.73,1093,0.0114349681955139,0.0801912453967191,0.0742697522597924,1.07972953937174,0.0312290759959826,0.165895965852025
"59",1929,0.289,0.343,0.417,0.76,1349,0.0140051078673616,0.0829716990926268,0.0724860364195096,1.14465769120596,0.0281659433981853,0.169462843379498
"60",1930,0.296,0.346,0.434,0.78,1565,0.0160943654295087,0.078713273480805,0.0815927765608449,0.964708847995967,0.0267999465235142,0.176400415471159
"61",1931,0.278,0.334,0.391,0.725,1069,0.0111213990699223,0.0798888900448393,0.0821256541234486,0.972764124651634,0.014949906888193,0.17313594323821
"62",1932,0.277,0.332,0.4,0.732,1358,0.0140613189475755,0.0781656087888421,0.0815722169874815,0.958238131505458,0.0153142052455554,0.173799144723899
"63",1933,0.27,0.324,0.376,0.7,1067,0.0112772816149659,0.0776198277228769,0.0786767425883845,0.986566362170876,0.0179464144163188,0.167573851926227
"64",1934,0.279,0.337,0.397,0.734,1344,0.0140640205937444,0.0821970846457311,0.0882349863440871,0.931570208728653,0.0152255580088528,0.184496091583563
"65",1935,0.279,0.336,0.397,0.733,1325,0.0137731024303029,0.081432818444523,0.0831999334733166,0.978760619690155,0.0161015363505956,0.178405854348142
"66",1936,0.284,0.344,0.404,0.748,1364,0.0139348616730007,0.0859997548118181,0.0841301949246046,1.02222222222222,0.0144558865596012,0.184064811409423
"67",1937,0.277,0.338,0.399,0.737,1430,0.0148729042725798,0.0878125390023713,0.093616091858385,0.938006888123542,0.0147688979489953,0.196301535133336
"68",1938,0.274,0.338,0.396,0.734,1475,0.015469810271954,0.0905324761135641,0.0874175380452453,1.03563287342531,0.0142007614293056,0.193419824430763
"69",1939,0.275,0.336,0.397,0.733,1445,0.0150674647035515,0.0884027444683114,0.0886425726262226,0.997294435948712,0.0228566661800588,0.192112781798086
"70",1940,0.267,0.33,0.392,0.722,1571,0.0163816475495308,0.086266944734098,0.0943587069864442,0.914244667919107,0.0132012513034411,0.197007299270073
"71",1941,0.262,0.329,0.375,0.704,1331,0.0137950333734091,0.0920981717175905,0.0914763069524481,1.00679809653297,0.0148418390613988,0.197369512043448
"72",1942,0.253,0.318,0.35,0.668,1071,0.0114013796627491,0.0893480667688639,0.0886241696474195,1.00816816816817,0.0156808891159939,0.189373616079033
"73",1943,0.253,0.317,0.344,0.661,905,0.00951910131268933,0.0879438741164591,0.0898897677549647,0.978352445588579,0.0177023729384046,0.187352743184113
"74",1944,0.26,0.32,0.358,0.678,1034,0.0108117151311731,0.0829176992168303,0.0855840312849629,0.968845448992059,0.0177023536915629,0.179313445632966
"75",1945,0.26,0.323,0.355,0.678,1007,0.0106237076423176,0.0875532767860911,0.0848736126935899,1.03157240522063,0.0177343123602144,0.183050597121999
"76",1946,0.256,0.323,0.36,0.683,1215,0.0127799223738048,0.0925624007320844,0.101986936079351,0.907590759075908,0.0170609334076637,0.207329259185241
"77",1947,0.261,0.331,0.377,0.708,1565,0.0164087401442711,0.0966385673544707,0.0960094782754571,1.00655236431146,0.0147416540848851,0.209056785774199
"78",1948,0.263,0.336,0.382,0.718,1555,0.0162330883581092,0.100457240688158,0.0941205946216803,1.06732475598935,0.0147820277267413,0.210810923667947
"79",1949,0.263,0.339,0.384,0.723,1704,0.0177149391828672,0.104241605156461,0.0930554111654018,1.12021003239861,0.0146376962262189,0.21501195550473
"80",1950,0.266,0.342,0.402,0.744,2073,0.0214901050143578,0.103200190746711,0.0990431564434032,1.04197194892192,0.0129479696878596,0.223733452204472
"81",1951,0.261,0.332,0.386,0.718,1863,0.019406654305298,0.0962936727848497,0.0972416092001917,0.990251740760578,0.0129169357694952,0.212941936290339
"82",1952,0.253,0.322,0.37,0.692,1701,0.0179415239220319,0.0925765758163868,0.109484431693528,0.845568400770713,0.0142814952324698,0.220002531431947
"83",1953,0.264,0.331,0.397,0.728,2076,0.0217584974478834,0.0909957971303099,0.107042164949534,0.850093018701655,0.0130488098856526,0.219796459527727
"84",1954,0.261,0.328,0.39,0.718,1937,0.020275079551164,0.0945402780103835,0.106923044716128,0.884189916789036,0.0139423882096801,0.221738402277675
"85",1955,0.259,0.328,0.394,0.722,2224,0.0234043672717706,0.0951749539594843,0.113685872138911,0.837174858835509,0.0124914496185214,0.232265193370166
"86",1956,0.258,0.327,0.397,0.724,2294,0.0240887946151988,0.0944755384276129,0.120811500456784,0.782007822685789,0.0131574802322773,0.239375833499596
"87",1957,0.258,0.32,0.391,0.711,2202,0.0230851487639696,0.085620531314868,0.125259472039922,0.68354536324071,0.011689346444971,0.23396515211876
"88",1958,0.258,0.321,0.394,0.715,2240,0.0237935906015317,0.0863261209011822,0.129855645135592,0.66478527607362,0.0111107570398224,0.239975356638306
"89",1959,0.257,0.32,0.392,0.712,2250,0.0237549753476145,0.0864047636643897,0.133070093013926,0.649317676927959,0.0118986032074496,0.24322983202593
"90",1960,0.255,0.32,0.388,0.708,2128,0.0224541262622532,0.0884658809129375,0.135220689873485,0.654233320327741,0.0125882390182651,0.246140697048675
"91",1961,0.258,0.324,0.399,0.723,2730,0.0249160338785047,0.0903274678738318,0.136417567172897,0.662139559777882,0.0119104117990654,0.251661068925234
"92",1962,0.258,0.323,0.393,0.716,3001,0.0240966757668219,0.0878111450136502,0.141055082704352,0.622530881766949,0.0109282158342701,0.252962903484824
"93",1963,0.246,0.305,0.372,0.677,2704,0.022103060423751,0.0783988359926759,0.153454420612085,0.510893304213498,0.0118362542505885,0.253956317028512
"94",1964,0.25,0.309,0.378,0.687,2762,0.0224589364124248,0.0782322328833957,0.156220523662384,0.500780762023735,0.0118881118881119,0.256911692958205
"95",1965,0.246,0.307,0.372,0.679,2688,0.0218983454040359,0.0817603402064375,0.157092929473967,0.520458434890837,0.0121222983486627,0.260751615084441
"96",1966,0.249,0.306,0.376,0.682,2743,0.0225432908437913,0.0766866375732472,0.154548517797119,0.496197819728796,0.0119578885080993,0.253778446214157
